Date,HRI,HRO,DB,SHI,SHO
11/8/79,,,,,
11/9/79,,,,,
11/10/79,,,,,
11/11/79,,,,,
11/12/79,,,,,
11/13/79,,,,,
11/14/79,,,,,
11/15/79,,,,,
11/16/79,,,,,
11/17/79,,,,,
11/18/79,,,,,
11/19/79,,,,,
11/20/79,,,,,
11/21/79,,,,,
11/22/79,,,,,
11/23/79,,,,,
11/24/79,,,,,
11/25/79,,,,,
11/26/79,,,,,
11/27/79,,,,,
11/28/79,,,,,
11/29/79,,,,,
11/30/79,,,,,
12/1/79,,,,,
12/2/79,,,,,
12/3/79,,,,,
12/4/79,,,,,
12/5/79,,,,,
12/6/79,,,,,
12/7/79,,,,,
12/8/79,,,,,
12/9/79,,,,,
12/10/79,,,,,
12/11/79,,,,,
12/12/79,,,,,
12/13/79,,,,,
12/14/79,,,,,
12/15/79,,,,,
12/16/79,,,,,
12/17/79,,,,,
12/18/79,,,,,
12/19/79,,,,,
12/20/79,,,,,
12/21/79,,,,,
12/22/79,,,,,
12/23/79,,,,,
12/24/79,,,,,
12/25/79,,,,,
12/26/79,,,,,
12/27/79,,,,,
12/28/79,,,,,
12/29/79,,,,,
12/30/79,,,,,
12/31/79,,,,,
1/1/80,,,,,
1/2/80,,,,,
1/3/80,,,,,
1/4/80,,,,,
1/5/80,,,,,
1/6/80,,,,,
1/7/80,,,,,
1/8/80,,,,,
1/9/80,,,,,
1/10/80,,,,,
1/11/80,,,,,
1/12/80,,,,,
1/13/80,,,,,
1/14/80,,,,,
1/15/80,,,,,
1/16/80,,,,,
1/17/80,,,,,
1/18/80,,,,,
1/19/80,,,,,
1/20/80,,,,,
1/21/80,,,,,
1/22/80,,,,,
1/23/80,,,,,
1/24/80,,,,,
1/25/80,,,,,
1/26/80,,,,,
1/27/80,,,,,
1/28/80,,,,,
1/29/80,,,,,
1/30/80,,,,,
1/31/80,,,,,
2/1/80,,,,,
2/2/80,,,,,
2/3/80,,,,,
2/4/80,,,,,
2/5/80,,,,,
2/6/80,,,,,
2/7/80,,,,,
2/8/80,,,,,
2/9/80,,,,,
2/10/80,,,,,
2/11/80,,,,,
2/12/80,,,,,
2/13/80,,,,,
2/14/80,,,,,
2/15/80,,,,,
2/16/80,,,,,
2/17/80,,,,,
2/18/80,,,,,
2/19/80,,,,,
2/20/80,,,,,
2/21/80,,,,,
2/22/80,,,,,
2/23/80,,,,,
2/24/80,,,,,
2/25/80,,,,,
2/26/80,,,,,
2/27/80,,,,,
2/28/80,,,,,
2/29/80,,,,,
3/1/80,,,,,
3/2/80,,,,,
3/3/80,,,,,
3/4/80,,,,,
3/5/80,,,,,
3/6/80,,,,,
3/7/80,,,,,
3/8/80,,,,,
3/9/80,,,,,
3/10/80,,,,,
3/11/80,,,,,
3/12/80,,,,,
3/13/80,,,,,
3/14/80,,,,,
3/15/80,,,,,
3/16/80,,,,,
3/17/80,,,,,
3/18/80,,,,,
3/19/80,,,,,
3/20/80,,,,,
3/21/80,,,,,
3/22/80,,,,,
3/23/80,,,,,
3/24/80,,,,,
3/25/80,,,,,
3/26/80,,,,,
3/27/80,,,,,
3/28/80,,,,,
3/29/80,,,,,
3/30/80,,,,,
3/31/80,,,,,
4/1/80,,,,,
4/2/80,,,,,
4/3/80,,,,,
4/4/80,,,,,
4/5/80,,,,,
4/6/80,,,,,
4/7/80,,,,,
4/8/80,,,,,
4/9/80,,,,,
4/10/80,,,,,
4/11/80,,,,,
4/12/80,,,,,
4/13/80,,,,,
4/14/80,,,,,
4/15/80,,,,,
4/16/80,,,,,
4/17/80,,,,,
4/18/80,,,,,
4/19/80,,,,,
4/20/80,,,,,
4/21/80,,,,,
4/22/80,,,,,
4/23/80,,,,,
4/24/80,,,,,
4/25/80,,,,,
4/26/80,,,,,
4/27/80,,,,,
4/28/80,,,,,
4/29/80,,,,,
4/30/80,,,,,
5/1/80,,,,,
5/2/80,,,,,
5/3/80,,,,,
5/4/80,,,,,
5/5/80,,,,,
5/6/80,,,,,
5/7/80,,,,,
5/8/80,,,,,
5/9/80,,,,,
5/10/80,,,,,
5/11/80,,,,,
5/12/80,,,,,
5/13/80,,,,,
5/14/80,,,,,
5/15/80,,,,,
5/16/80,,,,,
5/17/80,,,,,
5/18/80,,,,,
5/19/80,,,,,
5/20/80,,,,,
5/21/80,,,,,
5/22/80,,,,,
5/23/80,,,,,
5/24/80,,,,,
5/25/80,,,,,
5/26/80,,,,,
5/27/80,,,,,
5/28/80,,,,,
5/29/80,,,,,
5/30/80,,,,,
5/31/80,,,,,
6/1/80,,,,,
6/2/80,,,,,
6/3/80,,,,,
6/4/80,,,,,
6/5/80,,,,,
6/6/80,,,,,
6/7/80,,,,,
6/8/80,,,,,
6/9/80,,,,,
6/10/80,,,,,
6/11/80,,,,,
6/12/80,,,,,
6/13/80,,,,,
6/14/80,,,,,
6/15/80,,,,,
6/16/80,,,,,
6/17/80,,,,,
6/18/80,,,,,
6/19/80,,,,,
6/20/80,,,,,
6/21/80,,,,,
6/22/80,,,,,
6/23/80,,,,,
6/24/80,,,,,
6/25/80,,,,,
6/26/80,,,,,
6/27/80,,,,,
6/28/80,,,,,
6/29/80,,,,,
6/30/80,,,,,
7/1/80,,,,,
7/2/80,,,,,
7/3/80,,,,,
7/4/80,,,,,
7/5/80,,,,,
7/6/80,,,,,
7/7/80,,,,,
7/8/80,,,,,
7/9/80,,,,,
7/10/80,,,,,
7/11/80,,,,,
7/12/80,,,,,
7/13/80,,,,,
7/14/80,,,,,
7/15/80,,,,,
7/16/80,,,,,
7/17/80,,,,,
7/18/80,,,,,
7/19/80,,,,,
7/20/80,,,,,
7/21/80,,,,,
7/22/80,,,,,
7/23/80,,,,,
7/24/80,,,,,
7/25/80,,,,,
7/26/80,,,,,
7/27/80,,,,,
7/28/80,,,,,
7/29/80,,,,,
7/30/80,,,,,
7/31/80,,,,,
8/1/80,,,,,
8/2/80,,,,,
8/3/80,,,,,
8/4/80,,,,,
8/5/80,,,,,
8/6/80,,,,,
8/7/80,,,,,
8/8/80,,,,,
8/9/80,,,,,
8/10/80,,,,,
8/11/80,,,,,
8/12/80,,,,,
8/13/80,,,,,
8/14/80,,,,,
8/15/80,,,,,
8/16/80,,,,,
8/17/80,,,,,
8/18/80,,,,,
8/19/80,,,,,
8/20/80,,,,,
8/21/80,,,,,
8/22/80,,,,,
8/23/80,,,,,
8/24/80,,,,,
8/25/80,,,,,
8/26/80,,,,,
8/27/80,,,,,
8/28/80,,,,,
8/29/80,,,,,
8/30/80,,,,,
8/31/80,,,,,
9/1/80,,,,,
9/2/80,,,,,
9/3/80,,,,,
9/4/80,,,,,
9/5/80,,,,,
9/6/80,,,,,
9/7/80,,,,,
9/8/80,,,,,
9/9/80,,,,,
9/10/80,,,,,
9/11/80,,,,,
9/12/80,,,,,
9/13/80,,,,,
9/14/80,,,,,
9/15/80,,,,,
9/16/80,,,,,
9/17/80,,,,,
9/18/80,,,,,
9/19/80,,,,,
9/20/80,,,,,
9/21/80,,,,,
9/22/80,,,,,
9/23/80,,,,,
9/24/80,,,,,
9/25/80,,,,,
9/26/80,,,,,
9/27/80,,,,,
9/28/80,,,,,
9/29/80,,,,,
9/30/80,,,,,
10/1/80,,,,,
10/2/80,,,,,
10/3/80,,,,,
10/4/80,,,,,
10/5/80,,,,,
10/6/80,,,,,
10/7/80,,,,,
10/8/80,,,,,
10/9/80,,,,,
10/10/80,,,,,
10/11/80,,,,,
10/12/80,,,,,
10/13/80,,,,,
10/14/80,,,,,
10/15/80,,,,,
10/16/80,,,,,
10/17/80,,,,,
10/18/80,,,,,
10/19/80,,,,,
10/20/80,,,,,
10/21/80,,,,,
10/22/80,,,,,
10/23/80,,,,,
10/24/80,,,,,
10/25/80,,,,,
10/26/80,,,,,
10/27/80,,,,,
10/28/80,,,,,
10/29/80,,,,,
10/30/80,,,,,
10/31/80,,,,,
11/1/80,,,,,
11/2/80,,,,,
11/3/80,,,,,
11/4/80,,,,,
11/5/80,,,,,
11/6/80,,,,,
11/7/80,,,,,
11/8/80,,,,,
11/9/80,,,,,
11/10/80,,,,,
11/11/80,,,,,
11/12/80,,,,,
11/13/80,,,,,
11/14/80,,,,,
11/15/80,,,,,
11/16/80,,,,,
11/17/80,,,,,
11/18/80,,,,,
11/19/80,,,,,
11/20/80,,,,,
11/21/80,,,,,
11/22/80,,,,,
11/23/80,,,,,
11/24/80,,,,,
11/25/80,,,,,
11/26/80,,,,,
11/27/80,,,,,
11/28/80,,,,,
11/29/80,,,,,
11/30/80,,,,,
12/1/80,,,,,
12/2/80,,,,,
12/3/80,,,,,
12/4/80,,,,,
12/5/80,,,,,
12/6/80,,,,,
12/7/80,,,,,
12/8/80,,,,,
12/9/80,,,,,
12/10/80,,,,,
12/11/80,,,,,
12/12/80,,,,,
12/13/80,,,,,
12/14/80,,,,,
12/15/80,,,,,
12/16/80,,,,,
12/17/80,,,,,
12/18/80,,,,,
12/19/80,,,,,
12/20/80,,,,,
12/21/80,,,,,
12/22/80,,,,,
12/23/80,,,,,
12/24/80,,,,,
12/25/80,,,,,
12/26/80,,,,,
12/27/80,,,,,
12/28/80,,,,,
12/29/80,,,,,
12/30/80,,,,,
12/31/80,,,,,
1/1/81,,,,,
1/2/81,,,,,
1/3/81,,,,,
1/4/81,,,,,
1/5/81,,,,,
1/6/81,,,,,
1/7/81,,,,,
1/8/81,,,,,
1/9/81,,,,,
1/10/81,,,,,
1/11/81,,,,,
1/12/81,,,,,
1/13/81,,,,,
1/14/81,,,,,
1/15/81,,,,,
1/16/81,,,,,
1/17/81,,,,,
1/18/81,,,,,
1/19/81,,,,,
1/20/81,,,,,
1/21/81,,,,,
1/22/81,,,,,
1/23/81,,,,,
1/24/81,,,,,
1/25/81,,,,,
1/26/81,,,,,
1/27/81,,,,,
1/28/81,,,,,
1/29/81,,,,,
1/30/81,,,,,
1/31/81,,,,,
2/1/81,,,,,
2/2/81,,,,,
2/3/81,,,,,
2/4/81,,,,,
2/5/81,,,,,
2/6/81,,,,,
2/7/81,,,,,
2/8/81,,,,,
2/9/81,,,,,
2/10/81,,,,,
2/11/81,,,,,
2/12/81,,,,,
2/13/81,,,,,
2/14/81,,,,,
2/15/81,,,,,
2/16/81,,,,,
2/17/81,,,,,
2/18/81,,,,,
2/19/81,,,,,
2/20/81,,,,,
2/21/81,,,,,
2/22/81,,,,,
2/23/81,,,,,
2/24/81,,,,,
2/25/81,,,,,
2/26/81,,,,,
2/27/81,,,,,
2/28/81,,,,,
3/1/81,,,,,
3/2/81,,,,,
3/3/81,,,,,
3/4/81,,,,,
3/5/81,,,,,
3/6/81,,,,,
3/7/81,,,,,
3/8/81,,,,,
3/9/81,,,,,
3/10/81,,,,,
3/11/81,,,,,
3/12/81,,,,,
3/13/81,,,,,
3/14/81,,,,,
3/15/81,,,,,
3/16/81,,,,,
3/17/81,,,,,
3/18/81,,,,,
3/19/81,,,,,
3/20/81,,,,,
3/21/81,,,,,
3/22/81,,,,,
3/23/81,,,,,
3/24/81,,,,,
3/25/81,,,,,
3/26/81,,,,,
3/27/81,,,,,
3/28/81,,,,,
3/29/81,,,,,
3/30/81,,,,,
3/31/81,,,,,
4/1/81,,,,,
4/2/81,,,,,
4/3/81,,,,,
4/4/81,,,,,
4/5/81,,,,,
4/6/81,,,,,
4/7/81,,,,,
4/8/81,,,,,
4/9/81,,,,,
4/10/81,,,,,
4/11/81,,,,,
4/12/81,,,,,
4/13/81,,,,,
4/14/81,,,,,
4/15/81,,,,,
4/16/81,,,,,
4/17/81,,,,,
4/18/81,,,,,
4/19/81,,,,,
4/20/81,,,,,
4/21/81,,,,,
4/22/81,,,,,
4/23/81,,,,,
4/24/81,,,,,
4/25/81,,,,,
4/26/81,,,,,
4/27/81,,,,,
4/28/81,,,,,
4/29/81,,,,,
4/30/81,,,,,
5/1/81,,,,,
5/2/81,,,,,
5/3/81,,,,,
5/4/81,,,,,
5/5/81,,,,,
5/6/81,,,,,
5/7/81,,,,,
5/8/81,,,,,
5/9/81,,,,,
5/10/81,,,,,
5/11/81,,,,,
5/12/81,,,,,
5/13/81,,,,,
5/14/81,,,,,
5/15/81,,,,,
5/16/81,,,,,
5/17/81,,,,,
5/18/81,,,,,
5/19/81,,,,,
5/20/81,,,,,
5/21/81,,,,,
5/22/81,,,,,
5/23/81,,,,,
5/24/81,,,,,
5/25/81,,,,,
5/26/81,,,,,
5/27/81,,,,,
5/28/81,,,,,
5/29/81,,,,,
5/30/81,,,,,
5/31/81,,,,,
6/1/81,,,,,
6/2/81,,,,,
6/3/81,,,,,
6/4/81,,,,,
6/5/81,,,,,
6/6/81,,,,,
6/7/81,,,,,
6/8/81,,,,,
6/9/81,,,,,
6/10/81,,,,,
6/11/81,,,,,
6/12/81,,,,,
6/13/81,,,,,
6/14/81,,,,,
6/15/81,,,,,
6/16/81,,,,,
6/17/81,,,,,
6/18/81,,,,,
6/19/81,,,,,
6/20/81,,,,,
6/21/81,,,,,
